Event: time 1778628227.416257, type 3 (EV_ABS), code 1 (ABS_Y), value 52
Event: time 1778628227.708183, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 398
Event: time 1778628227.708183, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 47
Event: time 1778628227.708183, type 3 (EV_ABS), code 0 (ABS_X), value 398
Event: time 1778628227.708183, type 3 (EV_ABS), code 1 (ABS_Y), value 47
Event: time 1778628227.977762, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 373
Event: time 1778628227.977762, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 34
Event: time 1778628227.977762, type 3 (EV_ABS), code 0 (ABS_X), value 373
Event: time 1778628227.977762, type 3 (EV_ABS), code 1 (ABS_Y), value 34
Event: time 1778628228.248693, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 375
Event: time 1778628228.248693, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 40
Event: time 1778628228.248693, type 3 (EV_ABS), code 0 (ABS_X), value 375
Event: time 1778628228.248693, type 3 (EV_ABS), code 1 (ABS_Y), value 40
Event: time 1778628228.496914, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 366
Event: time 1778628228.496914, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 44
Event: time 1778628228.496914, type 3 (EV_ABS), code 0 (ABS_X), value 366
Event: time 1778628228.496914, type 3 (EV_ABS), code 1 (ABS_Y), value 44
Event: time 1778628228.746030, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 368
Event: time 1778628228.746030, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 46
Event: time 1778628228.746030, type 3 (EV_ABS), code 0 (ABS_X), value 368
Event: time 1778628228.746030, type 3 (EV_ABS), code 1 (ABS_Y), value 46
Event: time 1778628229.005507, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 363
Event: time 1778628229.005507, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 49
Event: time 1778628229.005507, type 3 (EV_ABS), code 0 (ABS_X), value 363
Event: time 1778628229.005507, type 3 (EV_ABS), code 1 (ABS_Y), value 49
Event: time 1778628229.243312, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 372
Event: time 1778628229.243312, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 50
Event: time 1778628229.243312, type 3 (EV_ABS), code 0 (ABS_X), value 372
Event: time 1778628229.243312, type 3 (EV_ABS), code 1 (ABS_Y), value 50
Event: time 1778628229.491978, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 370
Event: time 1778628229.491978, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 57
Event: time 1778628229.491978, type 3 (EV_ABS), code 0 (ABS_X), value 370
Event: time 1778628229.491978, type 3 (EV_ABS), code 1 (ABS_Y), value 57
Event: time 1778628229.740646, type 3 (EV_ABS), code 53 (ABS_MT_POSITION_X), value 379
Event: time 1778628229.740646, type 3 (EV_ABS), code 54 (ABS_MT_POSITION_Y), value 49
Event: time 1778628229.740646, type 3 (EV_ABS), code 0 (ABS_X), value 379
Event: time 1778628229.740646, type 3 (EV_ABS), code 1 (ABS_Y), value 49
